conceptA,conceptB,isPrerequisite,dataset
4,1324,0,al_cpl
4,1525,0,al_cpl
4,478,0,al_cpl
4,971,1,drive
4,1193,0,al_cpl
4,340,0,al_cpl
4,312,0,al_cpl
4,733,0,al_cpl
4,510,0,al_cpl
4,315,0,al_cpl
4,408,0,al_cpl
4,96,0,drive
4,740,0,al_cpl
4,648,0,al_cpl
4,1224,0,al_cpl
4,187,0,al_cpl
4,87,0,drive
4,1445,0,al_cpl
4,785,0,al_cpl
4,1553,0,al_cpl
4,1032,0,drive
4,102,0,al_cpl
4,1438,1,drive
4,43,0,al_cpl
4,172,0,drive
4,579,0,al_cpl
4,126,0,al_cpl
4,115,0,al_cpl
4,1404,1,al_cpl
4,1260,0,drive
4,1549,0,al_cpl
4,1146,0,al_cpl
4,1540,0,al_cpl
4,1408,0,al_cpl
4,87,0,al_cpl
4,1351,0,al_cpl
4,411,0,al_cpl
4,1589,0,al_cpl
4,1503,0,al_cpl
4,1159,0,al_cpl
5,1522,0,moocDSA
5,916,1,moocDSA
5,345,1,moocDSA
5,251,0,moocDSA
5,1489,0,moocDSA
5,1563,1,moocDSA
5,19,1,moocDSA
5,1206,1,moocDSA
5,848,0,moocDSA
6,660,1,al_cpl
6,879,1,al_cpl
6,1167,0,al_cpl
6,386,0,al_cpl
6,1003,1,al_cpl
6,1494,0,al_cpl
6,1277,0,al_cpl
6,980,0,al_cpl
6,624,1,al_cpl
7,150,1,drive
7,409,1,drive
8,1291,1,moocDSA
8,923,0,moocDSA
8,1490,1,moocDSA
8,1513,1,moocDSA
9,876,0,al_cpl
9,802,1,al_cpl
9,119,0,al_cpl
9,1364,0,al_cpl
9,786,0,al_cpl
9,980,0,al_cpl
9,660,0,al_cpl
9,469,0,al_cpl
9,641,0,al_cpl
9,1510,0,al_cpl
9,273,0,al_cpl
10,445,0,moocDSA
10,19,0,moocDSA
10,887,0,moocDSA
10,717,1,moocDSA
10,916,0,moocDSA
10,214,1,moocDSA
11,967,1,drive
11,1028,1,drive
11,1244,0,drive
12,1503,0,al_cpl
12,260,1,al_cpl
12,1570,1,al_cpl
12,936,0,al_cpl
12,884,0,al_cpl
12,1125,1,al_cpl
12,200,0,al_cpl
12,995,1,al_cpl
12,1404,1,al_cpl
12,588,1,al_cpl
12,285,0,al_cpl
13,1405,0,drive
13,1031,0,drive
13,720,0,drive
13,1305,0,drive
14,688,0,moocML
14,944,0,moocML
14,1063,1,moocML
14,283,0,moocML
14,446,0,moocML
14,633,0,moocML
14,628,0,moocML
14,981,0,moocML
14,181,1,moocML
14,134,0,moocML
14,662,0,moocML
14,1422,0,moocML
14,339,0,moocML
14,1055,0,moocML
14,263,0,moocML
14,454,0,moocML
14,592,0,moocML
15,1597,1,al_cpl
15,542,1,al_cpl
15,405,0,al_cpl
16,1360,0,moocML
16,961,0,moocML
16,502,1,moocML
16,814,1,moocML
16,426,0,moocML
16,547,0,moocML
16,330,0,moocML
16,283,0,moocML
16,299,0,moocML
16,231,0,moocML
16,442,0,moocML
16,602,0,moocML
16,1437,0,moocML
16,432,0,moocML
16,277,0,moocML
16,616,0,moocML
16,1133,0,moocML
16,18,0,moocML
16,404,0,moocML
16,1533,0,moocML
16,493,0,moocML
16,503,0,moocML
16,1039,0,moocML
16,1274,0,moocML
16,1349,1,moocML
16,662,0,moocML
16,1483,0,moocML
16,986,0,moocML
16,455,0,moocML
16,944,0,moocML
16,317,0,moocML
16,1205,0,moocML
16,429,0,moocML
16,943,0,moocML
16,754,0,moocML
16,1403,0,moocML
16,1141,0,moocML
16,369,0,moocML
16,1209,0,moocML
17,299,0,moocML
17,1533,0,moocML
17,843,0,moocML
17,881,0,moocML
17,900,1,moocML
17,1062,0,moocML
17,590,0,moocML
18,1593,0,drive
18,313,0,drive
19,1175,0,moocDSA
19,1170,0,moocDSA
19,887,0,moocDSA
19,1334,1,moocDSA
20,1133,0,moocML
20,93,1,moocML
20,745,0,moocML
20,1257,0,moocML
20,36,0,moocML
20,944,0,moocML
20,1062,0,moocML
20,156,0,moocML
20,1075,0,moocML
20,463,0,moocML
20,646,0,moocML
20,630,1,moocML
20,1105,1,moocML
20,1218,0,moocML
20,1230,0,moocML
20,134,0,moocML
20,688,0,moocML
20,601,0,moocML
20,503,0,moocML
20,852,0,moocML
20,943,1,moocML
20,186,1,moocML
20,1205,1,moocML
20,244,0,moocML
20,878,0,moocML
20,561,0,moocML
21,738,1,al_cpl
21,1240,1,al_cpl
21,1502,1,al_cpl
21,1387,0,al_cpl
21,1502,1,al_cpl
21,704,0,al_cpl
21,1093,1,al_cpl
21,81,1,al_cpl
21,189,0,al_cpl
21,1161,0,al_cpl
22,996,0,drive
22,37,0,drive
22,959,0,drive
22,669,0,drive
22,613,0,drive
23,815,0,moocDSA
23,636,0,moocDSA
23,1026,1,moocDSA
23,887,0,moocDSA
23,1175,0,moocDSA
23,188,0,moocDSA
24,50,0,al_cpl
24,51,0,al_cpl
24,544,0,al_cpl
25,600,0,drive
25,347,0,drive
26,16,0,drive
26,1492,0,drive
26,962,0,drive
26,173,0,drive
26,532,0,drive
26,1200,0,drive
26,1177,0,drive
27,862,0,drive
28,587,0,drive
28,1136,0,drive
28,1018,0,drive
29,277,1,moocML
29,1563,1,moocDSA
29,317,0,moocML
29,968,1,moocML
29,1377,0,moocDSA
29,1062,0,moocML
29,1189,1,moocDSA
29,1021,0,moocDSA
29,326,0,moocDSA
29,1435,0,moocML
29,1013,0,moocDSA
29,429,1,moocML
29,1027,1,moocDSA
29,205,1,moocDSA
29,561,0,moocML
29,117,1,moocML
29,916,0,moocDSA
29,1360,1,moocML
29,489,0,moocDSA
29,249,1,moocML
29,7,0,moocDSA
29,1206,0,moocDSA
29,1205,1,moocML
29,1294,1,moocML
29,261,0,moocDSA
29,299,1,moocML
29,1567,0,moocDSA
30,23,1,drive
30,959,1,drive
30,613,0,drive
30,669,0,drive
30,996,1,drive
31,1192,1,al_cpl
32,725,0,al_cpl
32,1502,1,al_cpl
32,81,1,al_cpl
32,1453,1,al_cpl
32,844,0,al_cpl
32,1363,1,al_cpl
32,1338,1,al_cpl
32,1057,0,al_cpl
32,202,1,al_cpl
32,1343,1,al_cpl
32,1372,1,al_cpl
32,1240,1,al_cpl
32,913,0,al_cpl
33,1067,0,moocML
33,1063,0,moocML
33,944,0,moocML
33,662,0,moocML
33,341,0,moocML
33,178,0,moocML
33,885,0,moocML
33,93,0,moocML
33,201,0,moocML
33,1217,0,moocML
33,1075,0,moocML
33,1230,0,moocML
33,387,0,moocML
33,1548,0,moocML
33,1422,0,moocML
33,561,0,moocML
33,1257,0,moocML
33,423,1,moocML
33,493,0,moocML
33,439,1,moocML
33,547,0,moocML
33,199,0,moocML
33,1212,0,moocML
33,304,0,moocML
33,878,0,moocML
33,1218,0,moocML
34,1502,1,al_cpl
34,1453,0,al_cpl
34,844,0,al_cpl
35,693,0,al_cpl
35,1384,0,al_cpl
35,126,1,al_cpl
35,1404,1,al_cpl
35,1224,0,al_cpl
35,579,0,al_cpl
35,964,0,al_cpl
35,588,0,al_cpl
35,740,0,al_cpl
35,1408,0,al_cpl
35,1503,0,al_cpl
35,1146,0,al_cpl
35,586,0,al_cpl
35,1528,0,al_cpl
35,1211,0,al_cpl
35,741,0,al_cpl
35,546,1,al_cpl
35,908,0,al_cpl
35,1054,1,al_cpl
35,1341,0,al_cpl
35,1174,0,al_cpl
35,1553,0,al_cpl
36,112,0,drive
36,1340,1,drive
36,551,1,drive
36,210,1,drive
36,621,1,drive
36,344,1,drive
37,202,1,al_cpl
37,1338,1,al_cpl
37,475,0,al_cpl
37,1343,1,al_cpl
37,81,1,al_cpl
37,1240,1,al_cpl
37,988,0,al_cpl
37,1453,1,al_cpl
37,392,1,al_cpl
37,1502,1,al_cpl
37,1363,1,al_cpl
38,616,0,moocML
38,799,0,moocML
38,443,0,moocML
38,620,0,moocML
38,944,0,moocML
38,986,0,moocML
38,885,0,moocML
38,317,0,moocML
38,14,1,moocML
38,1154,1,moocML
38,1218,0,moocML
38,361,0,moocML
38,339,0,moocML
38,545,0,moocML
38,1029,0,moocML
38,1422,0,moocML
38,843,0,moocML
38,1514,0,moocML
38,429,0,moocML
38,181,1,moocML
38,1223,1,moocML
38,1056,0,moocML
38,1086,0,moocML
38,736,0,moocML
38,1063,1,moocML
38,1067,0,moocML
38,277,0,moocML
38,404,1,moocML
38,766,0,moocML
38,688,1,moocML
38,662,0,moocML
38,1271,0,moocML
38,281,0,moocML
38,1140,0,moocML
38,382,0,moocML
38,264,0,moocML
38,95,1,moocML
38,1487,0,moocML
39,1591,1,drive
40,1014,0,drive
40,1378,0,drive
40,1345,0,drive
40,618,0,drive
40,1275,1,drive
40,722,0,drive
41,1274,0,moocML
41,283,0,moocML
41,1140,0,moocML
41,248,0,moocML
41,547,0,moocML
41,545,0,moocML
41,47,0,moocML
41,1339,0,moocML
41,404,0,moocML
41,306,0,moocML
41,162,0,moocML
41,1533,0,moocML
42,1530,0,al_cpl
42,965,0,al_cpl
42,1568,0,al_cpl
42,252,0,al_cpl
42,1277,0,al_cpl
42,542,0,al_cpl
42,1037,0,al_cpl
42,1033,1,al_cpl
42,232,0,al_cpl
42,802,1,al_cpl
42,1167,0,al_cpl
42,652,0,al_cpl
42,727,1,al_cpl
42,1476,0,al_cpl
42,119,0,al_cpl
42,641,0,al_cpl
42,1480,0,al_cpl
42,359,0,al_cpl
42,1574,1,al_cpl
43,50,0,al_cpl
43,1364,1,al_cpl
43,253,1,al_cpl
43,1512,1,al_cpl
43,29,1,al_cpl
43,386,1,al_cpl
43,656,1,al_cpl
43,149,1,al_cpl
43,928,0,al_cpl
43,217,0,al_cpl
43,1574,1,al_cpl
44,169,0,al_cpl
44,1093,1,al_cpl
44,1551,1,al_cpl
44,999,1,al_cpl
44,81,1,al_cpl
44,320,0,al_cpl
44,1502,1,al_cpl
45,150,1,drive
45,1250,1,drive
45,540,1,drive
45,571,1,drive
46,476,0,moocML
46,493,0,moocML
47,447,1,al_cpl
47,356,0,al_cpl
48,620,0,moocML
48,1075,0,moocML
48,317,0,moocML
48,646,0,moocML
48,944,0,moocML
48,603,0,moocML
48,616,0,moocML
48,855,1,moocML
48,282,1,moocML
48,404,0,moocML
48,493,0,moocML
48,1401,0,moocML
48,1062,0,moocML
48,1063,1,moocML
48,1257,0,moocML
48,1437,0,moocML
48,662,0,moocML
48,1235,0,moocML
48,1218,0,moocML
48,881,0,moocML
48,1482,1,moocML
48,843,0,moocML
48,1514,0,moocML
48,966,0,moocML
48,799,0,moocML
48,1217,0,moocML
48,878,0,moocML
48,1067,0,moocML
49,1145,0,drive
49,1585,0,drive
49,1346,1,drive
49,250,0,drive
49,1117,0,drive
49,1191,0,drive
49,91,0,drive
49,1228,0,drive
49,557,0,drive
49,451,0,drive
49,731,1,drive
49,777,0,drive
49,1575,0,drive
49,1572,1,drive
49,1296,0,drive
49,1190,1,drive
49,1034,0,drive
50,261,0,moocDSA
50,864,0,moocDSA
50,445,0,moocDSA
50,1189,0,moocDSA
50,1522,0,moocDSA
50,1206,0,moocDSA
50,1175,0,moocDSA
50,257,0,moocDSA
50,214,0,moocDSA
50,1021,0,moocDSA
50,1377,0,moocDSA
50,815,0,moocDSA
50,415,0,moocDSA
50,916,0,moocDSA
50,1213,0,moocDSA
50,1221,0,moocDSA
50,36,0,moocDSA
50,1394,0,moocDSA
50,827,0,moocDSA
50,489,0,moocDSA
50,396,0,moocDSA
50,887,0,moocDSA
50,326,0,moocDSA
50,1127,0,moocDSA
50,1170,0,moocDSA
50,635,0,moocDSA
50,1314,0,moocDSA
50,1027,1,moocDSA
50,1194,0,moocDSA
50,934,1,moocDSA
50,1418,0,moocDSA
51,891,0,drive
51,800,0,drive
51,1359,0,drive
51,915,0,drive
51,769,0,drive
51,718,0,drive
51,1132,0,drive
52,277,0,moocML
52,711,1,moocML
52,195,0,moocML
52,646,0,moocML
52,93,0,moocML
52,830,0,moocML
52,745,0,moocML
52,455,0,moocML
52,463,0,moocML
52,1039,0,moocML
52,878,0,moocML
52,944,0,moocML
52,662,1,moocML
52,423,0,moocML
52,1218,0,moocML
52,1154,1,moocML
52,1075,0,moocML
52,688,0,moocML
52,429,0,moocML
52,317,0,moocML
52,561,0,moocML
53,35,0,drive
53,587,0,drive
53,720,0,drive
53,1593,0,drive
53,1018,0,drive
53,313,0,drive
54,1055,0,moocML
54,1271,0,moocML
54,874,0,moocML
55,1351,1,al_cpl
55,1404,1,al_cpl
55,5,1,al_cpl
55,115,1,al_cpl
55,597,1,al_cpl
55,1318,1,al_cpl
55,822,0,al_cpl
55,143,0,al_cpl
55,990,1,al_cpl
55,994,0,al_cpl
55,1146,0,al_cpl
55,372,1,al_cpl
55,336,1,al_cpl
56,925,0,drive
56,1505,1,drive
56,1248,0,drive
56,1322,0,drive
56,919,1,drive
56,1550,0,drive
56,311,0,drive
56,838,0,drive
56,1125,1,drive
57,1093,1,al_cpl
58,999,1,al_cpl
58,320,0,al_cpl
58,1440,1,al_cpl
58,208,1,al_cpl
58,686,1,al_cpl
58,1496,0,al_cpl
58,1093,1,al_cpl
58,1289,1,al_cpl
58,765,1,al_cpl
58,1376,0,al_cpl
58,1186,1,al_cpl
58,1088,1,al_cpl
59,572,0,drive
59,1046,0,drive
59,245,0,drive
59,122,1,drive
60,1200,0,drive
60,32,0,drive
60,173,0,drive
60,1177,0,drive
60,1492,0,drive
60,962,0,drive
61,119,0,al_cpl
62,1335,0,drive
63,1517,0,al_cpl
63,1338,1,al_cpl
63,473,0,al_cpl
63,1497,0,al_cpl
63,735,0,al_cpl
63,1138,0,al_cpl
63,161,0,al_cpl
63,555,0,al_cpl
63,935,0,al_cpl
63,1311,0,al_cpl
63,1093,1,al_cpl
63,558,0,al_cpl
63,202,0,al_cpl
63,1128,0,al_cpl
63,1556,0,al_cpl
63,526,0,al_cpl
63,1400,0,al_cpl
63,1299,0,al_cpl
63,761,0,al_cpl
63,392,0,al_cpl
63,1352,0,al_cpl
63,25,0,al_cpl
63,116,0,al_cpl
63,1057,0,al_cpl
63,385,0,al_cpl
63,1554,0,al_cpl
63,40,0,al_cpl
63,295,0,al_cpl
63,189,0,al_cpl
63,1161,0,al_cpl
63,1424,0,al_cpl
63,1118,0,al_cpl
63,514,0,al_cpl
63,430,0,al_cpl
63,914,0,al_cpl
63,213,0,al_cpl
63,1083,0,al_cpl
63,892,0,al_cpl
63,988,0,al_cpl
63,475,0,al_cpl
63,334,0,al_cpl
63,1280,0,al_cpl
63,1387,0,al_cpl
63,1502,1,al_cpl
63,97,0,al_cpl
63,52,0,al_cpl
63,290,0,al_cpl
63,704,0,al_cpl
63,1247,0,al_cpl
63,392,0,al_cpl
63,1237,0,al_cpl
63,147,0,al_cpl
63,467,0,al_cpl
63,169,0,al_cpl
63,1287,0,al_cpl
63,1527,0,al_cpl
63,599,0,al_cpl
63,1453,0,al_cpl
63,1138,0,al_cpl
63,678,0,al_cpl
63,295,0,al_cpl
63,1216,0,al_cpl
63,202,0,al_cpl
63,300,0,al_cpl
63,674,0,al_cpl
63,97,0,al_cpl
63,1280,0,al_cpl
63,767,0,al_cpl
63,142,0,al_cpl
63,1102,0,al_cpl
63,1160,0,al_cpl
63,320,0,al_cpl
63,567,0,al_cpl
63,276,0,al_cpl
63,1502,1,al_cpl
63,352,0,al_cpl
63,363,0,al_cpl
63,940,0,al_cpl
63,1300,0,al_cpl
63,1363,0,al_cpl
63,1240,0,al_cpl
63,86,0,al_cpl
63,430,0,al_cpl
63,1332,0,al_cpl
63,418,0,al_cpl
63,467,0,al_cpl
63,1036,0,al_cpl
64,419,0,al_cpl
64,87,0,al_cpl
65,1264,0,drive
65,525,0,drive
65,1406,0,drive
65,1405,0,drive
65,1158,0,drive
65,374,0,drive
65,1465,0,drive
66,81,1,al_cpl
66,1160,0,al_cpl
66,1554,0,al_cpl
66,1338,1,al_cpl
66,1453,1,al_cpl
66,1363,1,al_cpl
66,46,0,al_cpl
66,116,0,al_cpl
66,1502,1,al_cpl
66,290,0,al_cpl
66,213,0,al_cpl
66,1311,0,al_cpl
66,334,0,al_cpl
66,1240,1,al_cpl
66,1343,1,al_cpl
66,1057,0,al_cpl
66,1497,0,al_cpl
66,202,1,al_cpl
66,392,0,al_cpl
67,68,0,al_cpl
67,1351,0,al_cpl
67,690,0,al_cpl
67,597,1,al_cpl
67,372,1,al_cpl
67,115,1,al_cpl
67,187,0,al_cpl
67,1258,1,al_cpl
67,994,0,al_cpl
67,1404,1,al_cpl
67,990,1,al_cpl
67,790,0,al_cpl
67,5,1,al_cpl
67,1318,1,al_cpl
67,510,1,al_cpl
68,823,0,drive
68,138,1,drive
68,505,0,drive
68,1449,0,drive
68,773,1,drive
68,196,0,drive
68,440,1,drive
68,400,0,drive
68,1390,1,drive
68,1207,1,drive
69,236,0,drive
69,1122,0,drive
69,1535,1,drive
69,1306,0,drive
70,134,0,moocML
70,156,0,moocML
70,646,0,moocML
70,616,0,moocML
70,317,0,moocML
70,1075,0,moocML
70,1212,0,moocML
70,1230,0,moocML
70,184,0,moocML
70,745,0,moocML
70,975,0,moocML
70,561,0,moocML
70,1039,0,moocML
70,387,0,moocML
70,244,0,moocML
70,423,0,moocML
70,688,0,moocML
70,603,0,moocML
70,36,0,moocML
70,1062,0,moocML
71,768,0,drive
71,1430,0,drive
71,173,0,drive
71,1176,0,drive
72,41,1,moocML
72,401,1,moocML
72,423,1,moocML
72,646,0,moocML
72,878,1,moocML
72,1434,0,moocML
73,324,0,drive
73,611,0,drive
73,194,0,drive
73,689,0,drive
74,989,0,drive
74,84,0,drive
74,856,0,drive
74,70,0,drive
74,1308,0,drive
74,1571,0,drive
74,1201,0,drive
74,1121,0,drive
74,65,0,drive
75,1497,0,al_cpl
75,300,0,al_cpl
75,1093,1,al_cpl
75,202,1,al_cpl
75,179,0,al_cpl
75,467,0,al_cpl
75,81,1,al_cpl
75,334,1,al_cpl
75,555,0,al_cpl
75,1338,1,al_cpl
75,81,1,al_cpl
75,988,0,al_cpl
75,1527,0,al_cpl
75,1502,1,al_cpl
75,238,0,al_cpl
75,1338,1,al_cpl
75,914,1,al_cpl
76,985,0,drive
76,240,0,drive
76,663,0,drive
76,1415,1,drive
76,358,0,drive
76,744,0,drive
76,1561,0,drive
77,1568,0,al_cpl
77,641,0,al_cpl
77,589,0,al_cpl
77,1003,1,al_cpl
77,1156,0,al_cpl
78,5,1,al_cpl
78,1384,0,al_cpl
78,1428,0,al_cpl
79,1155,1,drive
79,150,1,drive
79,1250,1,drive
79,1407,1,drive
80,964,1,al_cpl
81,1291,0,moocDSA
81,658,1,moocDSA
81,504,1,moocDSA
82,251,0,moocDSA
82,446,0,moocDSA
82,1418,0,moocDSA
82,1489,0,moocDSA
82,848,0,moocDSA
83,541,0,drive
83,427,0,drive
84,317,0,moocML
85,510,0,al_cpl
85,68,0,al_cpl
85,187,0,al_cpl
85,1553,0,al_cpl
85,87,0,al_cpl
85,1408,0,al_cpl
85,884,0,al_cpl
85,1341,0,al_cpl
85,990,0,al_cpl
85,1024,0,al_cpl
85,83,0,al_cpl
85,790,0,al_cpl
85,143,0,al_cpl
85,918,0,al_cpl
85,1192,1,al_cpl
85,990,0,al_cpl
85,43,0,al_cpl
85,1126,0,al_cpl
85,822,0,al_cpl
85,579,0,al_cpl
85,597,0,al_cpl
85,1159,0,al_cpl
85,994,0,al_cpl
85,693,0,al_cpl
85,690,0,al_cpl
86,1453,1,al_cpl
86,81,1,al_cpl
86,1343,1,al_cpl
86,1363,1,al_cpl
86,1240,1,al_cpl
86,1502,1,al_cpl
86,1338,1,al_cpl
86,202,1,al_cpl
87,277,1,moocML
87,330,1,moocML
87,1435,0,moocML
87,943,1,moocML
87,317,0,moocML
87,1205,1,moocML
87,186,1,moocML
87,429,1,moocML
87,1294,0,moocML
88,1261,0,drive
88,1244,0,drive
89,252,0,al_cpl
89,802,1,al_cpl
89,727,1,al_cpl
89,758,1,al_cpl
89,1574,1,al_cpl
90,1503,0,al_cpl
90,13,0,al_cpl
90,160,0,al_cpl
90,921,0,al_cpl
90,1054,0,al_cpl
90,391,0,al_cpl
90,740,0,al_cpl
90,1525,0,al_cpl
90,278,0,al_cpl
90,411,0,al_cpl
90,1125,1,al_cpl
91,400,0,drive
91,715,1,drive
92,1259,1,moocML
92,237,0,moocML
92,297,1,moocML
92,317,0,moocML
92,783,1,moocML
92,950,1,moocML
92,1434,0,moocML
92,1062,0,moocML
92,1214,0,moocML
92,1582,1,moocML
92,603,0,moocML
92,393,1,moocML
92,745,0,moocML
92,646,0,moocML
93,195,0,moocML
93,455,0,moocML
93,1067,0,moocML
93,1075,0,moocML
93,231,1,moocML
93,1271,0,moocML
93,646,0,moocML
93,1063,1,moocML
93,124,0,moocML
93,282,0,moocML
93,1259,0,moocML
93,1062,0,moocML
93,520,0,moocML
93,1482,0,moocML
93,277,0,moocML
93,429,0,moocML
94,1397,0,al_cpl
94,1553,0,al_cpl
94,453,0,al_cpl
94,1353,0,al_cpl
94,1224,0,al_cpl
94,908,0,al_cpl
94,740,0,al_cpl
94,1408,0,al_cpl
94,1211,0,al_cpl
94,586,0,al_cpl
94,1146,0,al_cpl
95,606,0,drive
96,629,0,drive
97,847,1,drive
97,598,1,drive
97,298,1,drive
97,112,1,drive
97,527,1,drive
97,728,1,drive
98,862,0,drive
99,431,0,drive
99,122,0,drive
99,1046,0,drive
99,245,0,drive
99,668,0,drive
99,1116,1,drive
100,1481,0,al_cpl
100,1241,0,al_cpl
100,1093,1,al_cpl
100,1301,1,al_cpl
100,1376,1,al_cpl
101,91,0,drive
101,250,0,drive
101,1228,0,drive
101,557,1,drive
101,1296,1,drive
101,1191,1,drive
101,1190,0,drive
101,60,0,drive
101,451,0,drive
101,1034,0,drive
101,1585,0,drive
101,1575,0,drive
101,777,0,drive
101,1104,1,drive
101,1117,1,drive
102,121,0,al_cpl
102,740,0,al_cpl
102,995,0,al_cpl
102,1404,1,al_cpl
102,772,0,al_cpl
102,1570,0,al_cpl
103,423,1,moocML
103,95,0,moocML
103,1434,0,moocML
103,1196,1,moocML
103,975,1,moocML
103,401,1,moocML
103,646,0,moocML
103,963,1,moocML
103,41,1,moocML
104,120,1,drive
105,570,0,drive
105,85,0,drive
105,543,0,drive
106,1341,0,al_cpl
106,1324,0,al_cpl
106,1224,0,al_cpl
106,1054,0,al_cpl
106,1281,0,al_cpl
106,1528,0,al_cpl
106,143,0,al_cpl
106,597,0,al_cpl
106,693,0,al_cpl
106,1258,0,al_cpl
106,365,0,al_cpl
106,772,0,al_cpl
106,1312,0,al_cpl
106,411,0,al_cpl
106,453,0,al_cpl
106,908,0,al_cpl
106,586,0,al_cpl
106,995,0,al_cpl
106,1503,0,al_cpl
106,740,0,al_cpl
106,1061,0,al_cpl
107,94,1,drive
107,118,1,drive
108,1502,1,al_cpl
108,81,1,al_cpl
108,147,0,al_cpl
108,430,1,al_cpl
108,1338,1,al_cpl
108,1240,1,al_cpl
109,548,1,moocDSA
109,1485,1,moocDSA
109,1385,1,moocDSA
110,1079,0,al_cpl
110,87,0,al_cpl
110,1152,0,al_cpl
110,1404,1,al_cpl
110,228,1,al_cpl
110,5,1,al_cpl
111,822,0,al_cpl
111,1126,0,al_cpl
111,1404,1,al_cpl
111,336,0,al_cpl
111,693,0,al_cpl
111,87,0,al_cpl
111,1581,1,al_cpl
111,1528,0,al_cpl
111,1159,0,al_cpl
111,115,0,al_cpl
111,690,0,al_cpl
111,1341,0,al_cpl
111,143,0,al_cpl
111,1436,0,al_cpl
112,791,0,drive
112,743,0,drive
112,1016,1,drive
112,141,1,drive
112,959,0,drive
112,1365,0,drive
112,850,0,drive
112,996,0,drive
112,522,1,drive
112,1448,0,drive
112,1182,0,drive
112,1202,0,drive
113,1497,0,al_cpl
113,334,0,al_cpl
113,392,1,al_cpl
113,1036,0,al_cpl
113,475,0,al_cpl
113,1363,1,al_cpl
113,807,0,al_cpl
113,988,0,al_cpl
113,430,0,al_cpl
113,1138,0,al_cpl
113,1240,1,al_cpl
113,1554,0,al_cpl
113,300,0,al_cpl
113,1338,1,al_cpl
113,467,0,al_cpl
113,1502,1,al_cpl
113,81,1,al_cpl
113,295,0,al_cpl
113,555,1,al_cpl
113,238,0,al_cpl
113,1527,0,al_cpl
113,1057,0,al_cpl
113,179,0,al_cpl
113,202,1,al_cpl
113,1300,0,al_cpl
114,1278,1,drive
115,656,1,al_cpl
115,247,1,al_cpl
115,253,1,al_cpl
115,51,0,al_cpl
115,1512,1,al_cpl
115,386,1,al_cpl
115,1574,1,al_cpl
116,1181,0,drive
116,1104,1,drive
116,1191,1,drive
116,1572,0,drive
116,1228,0,drive
116,204,0,drive
116,1575,0,drive
117,825,0,drive
118,936,0,al_cpl
118,1054,0,al_cpl
118,995,0,al_cpl
118,121,0,al_cpl
118,1353,0,al_cpl
118,1503,0,al_cpl
118,896,0,al_cpl
118,747,0,al_cpl
118,941,0,al_cpl
118,43,0,al_cpl
118,588,1,al_cpl
118,519,0,al_cpl
118,1224,0,al_cpl
118,1318,0,al_cpl
118,908,0,al_cpl
118,1087,0,al_cpl
118,809,0,al_cpl
118,582,0,al_cpl
118,160,0,al_cpl
118,372,0,al_cpl
118,1508,0,al_cpl
118,740,0,al_cpl
118,1125,0,al_cpl
118,884,0,al_cpl
118,921,0,al_cpl
118,538,0,al_cpl
118,1525,0,al_cpl
118,336,0,al_cpl
118,285,0,al_cpl
118,255,0,al_cpl
118,1504,0,al_cpl
118,772,0,al_cpl
118,1341,0,al_cpl
118,200,0,al_cpl
118,411,0,al_cpl
118,1570,0,al_cpl
119,870,1,drive
120,1434,1,moocML
120,1230,0,moocML
120,134,0,moocML
120,688,0,moocML
120,423,1,moocML
120,439,1,moocML
