,conceptA,conceptB,isPrerequisite,dataset,file,conceptA_ind,conceptB_ind,fileB
157,11,1028,1,drive,drive,205,33,drive
155,11,1244,0,drive,drive,205,583,drive
155,11,1093,1,pseudo,drive,435,298,al_cpl
158,12,700,0,pseudo,al_cpl,185,289,mooc
158,12,745,0,pseudo,al_cpl,339,324,mooc
158,12,208,1,pseudo,al_cpl,280,8,al_cpl
158,12,1093,1,pseudo,al_cpl,435,298,al_cpl
168,12,884,0,al_cpl,al_cpl,511,475,al_cpl
167,12,1125,1,al_cpl,al_cpl,511,271,al_cpl
166,12,260,1,al_cpl,al_cpl,511,19,al_cpl
165,12,588,1,al_cpl,al_cpl,511,539,al_cpl
164,12,995,1,al_cpl,al_cpl,511,425,al_cpl
163,12,285,0,al_cpl,al_cpl,511,415,al_cpl
162,12,1503,0,al_cpl,al_cpl,511,426,al_cpl
161,12,1570,1,al_cpl,al_cpl,511,422,al_cpl
160,12,1404,1,al_cpl,al_cpl,511,365,al_cpl
159,12,936,0,al_cpl,al_cpl,511,467,al_cpl
158,12,200,0,al_cpl,al_cpl,511,209,al_cpl
171,13,1031,0,drive,drive,161,548,drive
170,13,1405,0,drive,drive,161,279,drive
169,13,1305,0,drive,drive,161,555,drive
172,13,720,0,drive,drive,161,554,drive
173,14,283,0,moocML,mooc,308,88,mooc
174,14,446,0,moocML,mooc,308,364,mooc
181,14,181,1,moocML,mooc,308,53,mooc
175,14,688,0,moocML,mooc,308,236,mooc
176,14,592,0,moocML,mooc,308,148,mooc
177,14,1063,1,moocML,mooc,308,18,mooc
178,14,944,0,moocML,mooc,308,409,mooc
179,14,134,0,moocML,mooc,308,51,mooc
180,14,1055,0,moocML,mooc,308,41,mooc
188,14,628,0,moocML,mooc,308,30,mooc
183,14,981,0,moocML,mooc,308,96,mooc
184,14,1422,0,moocML,mooc,308,42,mooc
185,14,263,0,moocML,mooc,308,396,mooc
186,14,662,0,moocML,mooc,308,80,mooc
187,14,633,0,moocML,mooc,308,352,mooc
182,14,454,0,moocML,mooc,308,250,mooc
189,15,745,0,pseudo,al_cpl,339,324,mooc
190,15,405,0,al_cpl,al_cpl,327,190,al_cpl
189,15,1093,1,pseudo,al_cpl,435,298,al_cpl
191,15,542,1,al_cpl,al_cpl,327,206,al_cpl
189,15,1597,1,al_cpl,al_cpl,327,331,al_cpl
210,16,1437,0,moocML,mooc,256,214,mooc
206,16,231,0,moocML,mooc,256,328,mooc
207,16,814,1,moocML,mooc,256,366,mooc
203,16,1274,0,moocML,mooc,256,301,mooc
202,16,432,0,moocML,mooc,256,17,mooc
201,16,547,0,moocML,mooc,256,75,mooc
200,16,1360,0,moocML,mooc,256,310,mooc
209,16,602,0,moocML,mooc,256,377,mooc
199,16,1209,0,moocML,mooc,256,424,mooc
198,16,1141,0,moocML,mooc,256,239,mooc
197,16,1205,0,moocML,mooc,256,430,mooc
196,16,754,0,moocML,mooc,256,238,mooc
195,16,493,0,moocML,mooc,256,142,mooc
194,16,1039,0,moocML,mooc,256,38,mooc
193,16,18,0,moocML,mooc,256,32,mooc
205,16,404,0,moocML,mooc,256,35,mooc
192,16,616,0,moocML,mooc,256,28,mooc
224,16,429,0,moocML,mooc,256,16,mooc
223,16,503,0,moocML,mooc,256,296,mooc
222,16,961,0,moocML,mooc,256,102,mooc
221,16,662,0,moocML,mooc,256,80,mooc
220,16,1483,0,moocML,mooc,256,2,mooc
219,16,426,0,moocML,mooc,256,429,mooc
218,16,986,0,moocML,mooc,256,287,mooc
217,16,944,0,moocML,mooc,256,409,mooc
216,16,943,0,moocML,mooc,256,144,mooc
215,16,1133,0,moocML,mooc,256,112,mooc
214,16,455,0,moocML,mooc,256,285,mooc
213,16,369,0,moocML,mooc,256,237,mooc
212,16,283,0,moocML,mooc,256,88,mooc
211,16,299,0,moocML,mooc,256,7,mooc
208,16,442,0,moocML,mooc,256,357,mooc
204,16,317,0,moocML,mooc,256,147,mooc
225,17,1062,0,moocML,mooc,32,118,mooc
230,17,881,0,moocML,mooc,32,275,mooc
229,17,299,0,moocML,mooc,32,7,mooc
228,17,900,1,moocML,mooc,32,277,mooc
227,17,843,0,moocML,mooc,32,130,mooc
226,17,1533,0,moocML,mooc,32,273,mooc
232,18,1593,0,drive,drive,189,196,drive
231,18,313,0,drive,drive,189,569,drive
235,19,1334,1,moocDSA,mooc,365,119,mooc
233,19,887,0,moocDSA,mooc,365,360,mooc
234,19,1175,0,moocDSA,mooc,365,333,mooc
236,20,966,0,pseudo,mooc,272,311,mooc
236,20,603,0,pseudo,mooc,401,107,mooc
236,20,208,1,pseudo,mooc,280,8,al_cpl
236,20,1404,1,pseudo,mooc,193,365,al_cpl
236,20,1093,1,pseudo,mooc,435,298,al_cpl
236,20,317,0,pseudo,mooc,272,147,mooc
245,20,601,0,moocML,mooc,339,197,mooc
253,20,156,0,moocML,mooc,339,191,mooc
251,20,1257,0,moocML,mooc,339,45,mooc
250,20,1133,0,moocML,mooc,339,112,mooc
249,20,93,1,moocML,mooc,339,381,mooc
248,20,745,0,moocML,mooc,339,324,mooc
247,20,878,0,moocML,mooc,339,4,mooc
246,20,1230,0,moocML,mooc,339,36,mooc
252,20,134,0,moocML,mooc,339,51,mooc
244,20,944,0,moocML,mooc,339,409,mooc
242,20,1205,1,moocML,mooc,339,430,mooc
241,20,244,0,moocML,mooc,339,385,mooc
240,20,646,0,moocML,mooc,339,91,mooc
239,20,1062,0,moocML,mooc,339,118,mooc
238,20,688,0,moocML,mooc,339,236,mooc
237,20,852,0,moocML,mooc,339,48,mooc
243,20,630,1,moocML,mooc,339,269,mooc
260,20,1218,0,moocML,mooc,339,241,mooc
236,20,1105,1,moocML,mooc,339,52,mooc
254,20,943,1,moocML,mooc,339,144,mooc
255,20,561,0,moocML,mooc,339,218,mooc
256,20,186,1,moocML,mooc,339,183,mooc
257,20,36,0,moocML,mooc,339,244,mooc
258,20,463,0,moocML,mooc,339,8,mooc
259,20,503,0,moocML,mooc,339,296,mooc
261,21,1059,1,pseudo,al_cpl,298,295,al_cpl
261,21,603,0,pseudo,al_cpl,401,107,mooc
261,21,745,0,pseudo,al_cpl,339,324,mooc
262,21,81,1,al_cpl,al_cpl,435,276,al_cpl
263,21,189,0,al_cpl,al_cpl,435,437,al_cpl
264,21,1502,1,al_cpl,al_cpl,435,210,al_cpl
265,21,704,0,al_cpl,al_cpl,435,434,al_cpl
261,21,1240,1,al_cpl,al_cpl,435,17,al_cpl
267,21,1093,1,al_cpl,al_cpl,435,298,al_cpl
261,21,208,1,pseudo,al_cpl,280,8,al_cpl
266,21,1387,0,al_cpl,al_cpl,435,423,al_cpl
269,22,669,0,drive,drive,39,406,drive
270,22,37,0,drive,drive,39,40,drive
271,22,959,0,drive,drive,39,469,drive
268,22,613,0,drive,drive,39,479,drive
272,23,188,0,moocDSA,mooc,189,178,mooc
273,23,636,0,moocDSA,mooc,189,210,mooc
274,23,815,0,moocDSA,mooc,189,242,mooc
275,23,887,0,moocDSA,mooc,189,360,mooc
276,23,1175,0,moocDSA,mooc,189,333,mooc
277,24,544,0,al_cpl,al_cpl,242,328,al_cpl
278,24,51,0,al_cpl,al_cpl,242,386,al_cpl
279,24,50,0,al_cpl,al_cpl,242,59,al_cpl
280,25,600,0,drive,drive,401,354,drive
281,25,347,0,drive,drive,401,848,drive
288,26,173,0,drive,drive,372,371,drive
287,26,1177,0,drive,drive,372,818,drive
286,26,962,0,drive,drive,372,820,drive
284,26,1492,0,drive,drive,372,817,drive
283,26,532,0,drive,drive,372,379,drive
285,26,16,0,drive,drive,372,826,drive
282,26,1200,0,drive,drive,372,814,drive
289,27,862,0,drive,drive,10,441,drive
290,28,1136,0,drive,drive,188,564,drive
291,28,587,0,drive,drive,188,186,drive
292,28,1018,0,drive,drive,188,183,drive
293,29,208,1,pseudo,mooc,280,8,al_cpl
293,29,745,0,pseudo,mooc,339,324,mooc
293,29,966,0,pseudo,mooc,272,311,mooc
293,29,603,0,pseudo,mooc,401,107,mooc
298,29,1021,0,moocDSA,mooc,244,340,mooc
297,29,326,0,moocDSA,mooc,244,158,mooc
294,29,429,1,moocML,mooc,244,16,mooc
295,29,1567,0,moocDSA,mooc,244,313,mooc
293,29,968,1,moocML,mooc,244,26,mooc
293,29,1093,1,pseudo,mooc,435,298,al_cpl
293,29,1404,1,pseudo,mooc,193,365,al_cpl
299,29,205,1,moocDSA,mooc,244,184,mooc
296,29,261,0,moocDSA,mooc,244,215,mooc
300,29,277,1,moocML,mooc,244,100,mooc
301,29,1435,0,moocML,mooc,244,307,mooc
316,29,1294,1,moocML,mooc,244,64,mooc
313,29,489,0,moocDSA,mooc,244,72,mooc
312,29,1027,1,moocDSA,mooc,244,3,mooc
311,29,1189,1,moocDSA,mooc,244,6,mooc
314,29,1360,1,moocML,mooc,244,310,mooc
309,29,299,1,moocML,mooc,244,7,mooc
308,29,1377,0,moocDSA,mooc,244,154,mooc
310,29,561,0,moocML,mooc,244,218,mooc
306,29,1062,0,moocML,mooc,244,118,mooc
305,29,1563,1,moocDSA,mooc,244,433,mooc
304,29,1206,0,moocDSA,mooc,244,122,mooc
303,29,249,1,moocML,mooc,244,411,mooc
302,29,117,1,moocML,mooc,244,376,mooc
307,29,1205,1,moocML,mooc,244,430,mooc
315,29,7,0,moocDSA,mooc,244,86,mooc
320,30,669,0,drive,drive,40,406,drive
319,30,613,0,drive,drive,40,479,drive
318,30,996,1,drive,drive,40,420,drive
317,30,23,1,drive,drive,40,39,drive
317,30,745,0,pseudo,drive,339,324,mooc
317,30,1093,1,pseudo,drive,435,298,al_cpl
321,31,1192,1,al_cpl,al_cpl,338,530,al_cpl
328,32,844,0,al_cpl,al_cpl,378,97,al_cpl
332,32,1372,1,al_cpl,al_cpl,378,183,al_cpl
326,32,1343,1,al_cpl,al_cpl,378,534,al_cpl
323,32,1502,1,al_cpl,al_cpl,378,210,al_cpl
331,32,202,1,al_cpl,al_cpl,378,277,al_cpl
329,32,81,1,al_cpl,al_cpl,378,276,al_cpl
327,32,1057,0,al_cpl,al_cpl,378,431,al_cpl
330,32,913,0,al_cpl,al_cpl,378,390,al_cpl
322,32,369,0,pseudo,al_cpl,272,237,mooc
333,32,1240,1,al_cpl,al_cpl,378,17,al_cpl
322,32,745,0,pseudo,al_cpl,339,324,mooc
322,32,1363,1,al_cpl,al_cpl,378,139,al_cpl
325,32,1338,1,al_cpl,al_cpl,378,374,al_cpl
322,32,1404,1,pseudo,al_cpl,193,365,al_cpl
322,32,208,1,pseudo,al_cpl,280,8,al_cpl
322,32,1093,1,pseudo,al_cpl,435,298,al_cpl
322,32,881,0,pseudo,al_cpl,272,275,mooc
324,32,725,0,al_cpl,al_cpl,378,132,al_cpl
336,33,493,0,moocML,mooc,326,142,mooc
348,33,304,0,moocML,mooc,326,202,mooc
337,33,1548,0,moocML,mooc,326,347,mooc
338,33,439,1,moocML,mooc,326,182,mooc
339,33,423,1,moocML,mooc,326,358,mooc
340,33,1422,0,moocML,mooc,326,42,mooc
341,33,1212,0,moocML,mooc,326,372,mooc
342,33,1075,0,moocML,mooc,326,312,mooc
343,33,547,0,moocML,mooc,326,75,mooc
344,33,1063,0,moocML,mooc,326,18,mooc
345,33,199,0,moocML,mooc,326,298,mooc
346,33,1230,0,moocML,mooc,326,36,mooc
347,33,1218,0,moocML,mooc,326,241,mooc
335,33,387,0,moocML,mooc,326,31,mooc
352,33,1067,0,moocML,mooc,326,81,mooc
350,33,1257,0,moocML,mooc,326,45,mooc
351,33,93,0,moocML,mooc,326,381,mooc
334,33,561,0,moocML,mooc,326,218,mooc
353,33,944,0,moocML,mooc,326,409,mooc
354,33,885,0,moocML,mooc,326,314,mooc
355,33,341,0,moocML,mooc,326,284,mooc
356,33,178,0,moocML,mooc,326,355,mooc
357,33,201,0,moocML,mooc,326,315,mooc
358,33,662,0,moocML,mooc,326,80,mooc
349,33,878,0,moocML,mooc,326,4,mooc
359,34,844,0,al_cpl,al_cpl,71,97,al_cpl
360,34,1453,0,al_cpl,al_cpl,71,377,al_cpl
361,34,1502,1,al_cpl,al_cpl,71,210,al_cpl
362,35,546,1,al_cpl,al_cpl,144,188,al_cpl
376,35,1528,0,al_cpl,al_cpl,144,229,al_cpl
363,35,1341,0,al_cpl,al_cpl,144,290,al_cpl
364,35,964,0,al_cpl,al_cpl,144,537,al_cpl
365,35,588,0,al_cpl,al_cpl,144,539,al_cpl
366,35,1408,0,al_cpl,al_cpl,144,155,al_cpl
367,35,741,0,al_cpl,al_cpl,144,147,al_cpl
368,35,1553,0,al_cpl,al_cpl,144,145,al_cpl
369,35,693,0,al_cpl,al_cpl,144,289,al_cpl
370,35,586,0,al_cpl,al_cpl,144,120,al_cpl
371,35,1503,0,al_cpl,al_cpl,144,426,al_cpl
372,35,126,1,al_cpl,al_cpl,144,87,al_cpl
373,35,908,0,al_cpl,al_cpl,144,153,al_cpl
374,35,579,0,al_cpl,al_cpl,144,146,al_cpl
377,35,1146,0,al_cpl,al_cpl,144,333,al_cpl
378,35,1404,1,al_cpl,al_cpl,144,365,al_cpl
379,35,1211,0,al_cpl,al_cpl,144,152,al_cpl
380,35,1384,0,al_cpl,al_cpl,144,15,al_cpl
381,35,740,0,al_cpl,al_cpl,144,150,al_cpl
375,35,1174,0,al_cpl,al_cpl,144,246,al_cpl
382,36,1093,1,pseudo,drive,435,298,al_cpl
382,36,966,0,pseudo,drive,272,311,mooc
382,36,344,1,drive,drive,23,797,drive
383,36,1340,1,drive,drive,23,775,drive
384,36,210,1,drive,drive,23,456,drive
385,36,621,1,drive,drive,23,795,drive
386,36,551,1,drive,drive,23,448,drive
387,37,1093,1,pseudo,al_cpl,435,298,al_cpl
387,37,745,0,pseudo,al_cpl,339,324,mooc
387,37,603,0,pseudo,al_cpl,401,107,mooc
387,37,208,1,pseudo,al_cpl,280,8,al_cpl
396,37,1453,1,al_cpl,al_cpl,519,377,al_cpl
393,37,1240,1,al_cpl,al_cpl,519,17,al_cpl
387,37,1338,1,al_cpl,al_cpl,519,374,al_cpl
388,37,988,0,al_cpl,al_cpl,519,61,al_cpl
389,37,1363,1,al_cpl,al_cpl,519,139,al_cpl
397,37,202,1,al_cpl,al_cpl,519,277,al_cpl
390,37,1343,1,al_cpl,al_cpl,519,534,al_cpl
395,37,1502,1,al_cpl,al_cpl,519,210,al_cpl
394,37,392,1,al_cpl,al_cpl,519,518,al_cpl
391,37,81,1,al_cpl,al_cpl,519,276,al_cpl
392,37,475,0,al_cpl,al_cpl,519,404,al_cpl
398,38,1437,0,pseudo,mooc,256,214,mooc
398,38,509,0,pseudo,mooc,298,383,mooc
402,38,14,1,moocML,mooc,126,308,mooc
404,38,95,1,moocML,mooc,126,431,mooc
398,38,1422,0,moocML,mooc,126,42,mooc
399,38,616,0,moocML,mooc,126,28,mooc
398,38,1404,1,pseudo,mooc,193,365,al_cpl
398,38,1093,1,pseudo,mooc,435,298,al_cpl
400,38,986,0,moocML,mooc,126,287,mooc
401,38,736,0,moocML,mooc,126,362,mooc
403,38,1140,0,moocML,mooc,126,49,mooc
405,38,1056,0,moocML,mooc,126,292,mooc
427,38,1218,0,moocML,mooc,126,241,mooc
433,38,799,0,moocML,mooc,126,198,mooc
432,38,1514,0,moocML,mooc,126,264,mooc
431,38,317,0,moocML,mooc,126,147,mooc
430,38,1154,1,moocML,mooc,126,134,mooc
429,38,1063,1,moocML,mooc,126,18,mooc
428,38,382,0,moocML,mooc,126,171,mooc
426,38,688,1,moocML,mooc,126,236,mooc
425,38,620,0,moocML,mooc,126,146,mooc
424,38,277,0,moocML,mooc,126,100,mooc
422,38,944,0,moocML,mooc,126,409,mooc
421,38,1067,0,moocML,mooc,126,81,mooc
420,38,885,0,moocML,mooc,126,314,mooc
419,38,264,0,moocML,mooc,126,309,mooc
423,38,766,0,moocML,mooc,126,67,mooc
417,38,339,0,moocML,mooc,126,200,mooc
406,38,361,0,moocML,mooc,126,266,mooc
407,38,545,0,moocML,mooc,126,253,mooc
408,38,181,1,moocML,mooc,126,53,mooc
418,38,1029,0,moocML,mooc,126,161,mooc
410,38,429,0,moocML,mooc,126,16,mooc
411,38,843,0,moocML,mooc,126,130,mooc
409,38,1271,0,moocML,mooc,126,216,mooc
413,38,281,0,moocML,mooc,126,157,mooc
414,38,404,1,moocML,mooc,126,35,mooc
415,38,1223,1,moocML,mooc,126,108,mooc
416,38,662,0,moocML,mooc,126,80,mooc
412,38,1086,0,moocML,mooc,126,406,mooc
434,39,1591,1,drive,drive,325,309,drive
435,40,1014,0,drive,drive,26,458,drive
436,40,722,0,drive,drive,26,481,drive
437,40,1378,0,drive,drive,26,471,drive
438,40,1275,1,drive,drive,26,522,drive
439,40,1345,0,drive,drive,26,76,drive
446,41,404,0,moocML,mooc,14,35,mooc
444,41,248,0,moocML,mooc,14,185,mooc
449,41,47,0,moocML,mooc,14,126,mooc
450,41,545,0,moocML,mooc,14,253,mooc
443,41,547,0,moocML,mooc,14,75,mooc
445,41,162,0,moocML,mooc,14,69,mooc
441,41,1274,0,moocML,mooc,14,301,mooc
440,41,1140,0,moocML,mooc,14,49,mooc
448,41,1339,0,moocML,mooc,14,232,mooc
442,41,1533,0,moocML,mooc,14,273,mooc
447,41,306,0,moocML,mooc,14,113,mooc
457,42,119,0,al_cpl,al_cpl,59,388,al_cpl
451,42,1093,1,pseudo,al_cpl,435,298,al_cpl
458,42,1568,0,al_cpl,al_cpl,59,20,al_cpl
451,42,1277,0,al_cpl,al_cpl,59,315,al_cpl
456,42,252,0,al_cpl,al_cpl,59,258,al_cpl
464,42,232,0,al_cpl,al_cpl,59,98,al_cpl
463,42,965,0,al_cpl,al_cpl,59,343,al_cpl
462,42,802,1,al_cpl,al_cpl,59,26,al_cpl
461,42,1037,0,al_cpl,al_cpl,59,259,al_cpl
460,42,1167,0,al_cpl,al_cpl,59,173,al_cpl
465,42,542,0,al_cpl,al_cpl,59,206,al_cpl
455,42,1530,0,al_cpl,al_cpl,59,225,al_cpl
451,42,745,0,pseudo,al_cpl,339,324,mooc
454,42,359,0,al_cpl,al_cpl,59,464,al_cpl
453,42,1480,0,al_cpl,al_cpl,59,60,al_cpl
459,42,1574,1,al_cpl,al_cpl,59,483,al_cpl
452,42,652,0,al_cpl,al_cpl,59,204,al_cpl
471,43,50,0,al_cpl,al_cpl,386,59,al_cpl
470,43,217,0,al_cpl,al_cpl,386,182,al_cpl
469,43,29,1,al_cpl,al_cpl,386,242,al_cpl
466,43,1093,1,pseudo,al_cpl,435,298,al_cpl
