conceptA,conceptB,isPrerequisite,dataset
anomaly detection,recall,0,moocML
anomaly detection,identity matrics,0,moocML
anomaly detection,k means,0,moocML
labeled data,anomaly detection,1,moocML
anomaly detection,learning curve,0,moocML
learning method,anomaly detection,1,moocML
learning problem,anomaly detection,1,moocML
learning system,anomaly detection,1,moocML
anomaly detection,linear algebra,0,moocML
anomaly detection,linear regression,0,moocML
anomaly detection,logistic regression,0,moocML
machine learning,anomaly detection,1,moocML
machine learning algorithm,anomaly detection,1,moocML
machine learning system,anomaly detection,1,moocML
anomaly detection,maximum likelihood,0,moocML
anomaly detection,maximum likelihood estimate,0,moocML
anomaly detection,multivariate gaussian distribution,0,moocML
anomaly detection,multivariate gaussian model,0,moocML
negative example,anomaly detection,1,moocML
anomaly detection,neural network,0,moocML
non-anomalous examples,anomaly detection,1,moocML
anomaly detection,matrix,0,moocML
anomaly detection,parameter estimation,0,moocML
positive data,anomaly detection,1,moocML
positive training example,anomaly detection,1,moocML
anomaly detection,probability density,0,moocML
anomaly detection,random variable,0,moocML
anomaly detection,recommender system,0,moocML
anomaly detection,regularization,0,moocML
anomaly detection,standard deviation,0,moocML
supervised learning,anomaly detection,1,moocML
anomaly detection,symmetric matrix,0,moocML
anomaly detection,test data,0,moocML
anomaly detection,test data set,0,moocML
training data,anomaly detection,1,moocML
training data set,anomaly detection,1,moocML
anomaly detection,true negatives,0,moocML
anomaly detection,true positives,0,moocML
unsupervised learning,anomaly detection,1,moocML
anomaly detection,validation set,0,moocML
anomaly detection,variance problem,0,moocML
bias unit,back prop,1,moocML
classification problem,back prop,1,moocML
features,back prop,1,moocML
derivative term,back prop,1,moocML
error cost function,back prop,1,moocML
forward propagation,back prop,1,moocML
global optimum,back prop,1,moocML
back prop,gradient checking,0,moocML
gradient descent,back prop,1,moocML
hidden layer,back prop,1,moocML
hidden unit,back prop,1,moocML
back prop,recall,0,moocML
hypothesis,back prop,1,moocML
input layer,back prop,1,moocML
input units,back prop,1,moocML
learning method,back prop,1,moocML
learning rate,back prop,1,moocML
linear regression,back prop,1,moocML
local minimum,back prop,1,moocML
local optima,back prop,1,moocML
logistic function,back prop,1,moocML
logistic regression,back prop,1,moocML
loss function,back prop,1,moocML
multi-class classification,back prop,1,moocML
neural network,back prop,1,moocML
back prop,neural network learning,1,moocML
matrix,back prop,1,moocML
optimization algorithms,back prop,1,moocML
back prop,output label,0,moocML
output layer,back prop,1,moocML
output unit,back prop,1,moocML
parameter vector,back prop,1,moocML
partial derivative,back prop,1,moocML
back prop,regularization,0,moocML
squared error,back prop,1,moocML
training data,back prop,1,moocML
training data set,back prop,1,moocML
big data sets,batch gradient descent,1,moocML
batch gradient descent,cluster,0,moocML
batch gradient descent,features,0,moocML
batch gradient descent,convex function,0,moocML
batch gradient descent,data set,0,moocML
derivative term,batch gradient descent,1,moocML
batch gradient descent,error cost function,0,moocML
global minimum,batch gradient descent,1,moocML
global optimum,batch gradient descent,1,moocML
gradient descent,batch gradient descent,1,moocML
hypothesis,batch gradient descent,1,moocML
iterative algorithm,batch gradient descent,1,moocML
batch gradient descent,learning curve,0,moocML
learning method,batch gradient descent,1,moocML
learning problem,batch gradient descent,1,moocML
batch gradient descent,learning rate,1,moocML
linear algebra,batch gradient descent,1,moocML
batch gradient descent,linear regression,0,moocML
local optima,batch gradient descent,1,moocML
batch gradient descent,logistic regression,0,moocML
loss function,batch gradient descent,1,moocML
batch gradient descent,machine learning,0,moocML
batch gradient descent,machine learning algorithm,0,moocML
batch gradient descent,massive training set,0,moocML
batch gradient descent,mini-batch gradient descent,1,moocML
batch gradient descent,mini-batch size,1,moocML
batch gradient descent,neural network,0,moocML
batch gradient descent,normal equation,0,moocML
batch gradient descent,online learning,0,moocML
optimization algorithms,batch gradient descent,1,moocML
optimization objective,batch gradient descent,1,moocML
partial derivative,batch gradient descent,1,moocML
batch gradient descent,regression model,0,moocML
squared error,batch gradient descent,1,moocML
batch gradient descent,stochastic gradient algorithm,0,moocML
batch gradient descent,training data,0,moocML
batch gradient descent,training data set,0,moocML
bayesian approach,bayesian inference,1,moocML
bayesian approach,cluster center,0,moocML
bayesian approach,cluster,0,moocML
bayesian approach,clustering algorithm,0,moocML
bayesian approach,coordinate descent,0,moocML
bayesian approach,covariance matrix,0,moocML
bayesian approach,gibbs sampler,0,moocML
bayesian approach,recall,0,moocML
bayesian approach,k means,0,moocML
bayesian approach,latent dirichlet allocation,0,moocML
log likelihood,bayesian approach,1,moocML
bayesian approach,loss function,0,moocML
maximum likelihood,bayesian approach,1,moocML
maximum likelihood estimate,bayesian approach,1,moocML
bayesian approach,mixture model,0,moocML
bayesian approach,model parameters,0,moocML
bayesian approach,matrix,0,moocML
bayesian inference,big data sets,0,moocML
bayesian inference,cluster,0,moocML
bayesian inference,clustering algorithm,0,moocML
bayesian inference,features,0,moocML
conditional distribution,bayesian inference,1,moocML
bayesian inference,coordinate descent,0,moocML
data set,bayesian inference,1,moocML
bayesian inference,expectation maximization,0,moocML
bayesian inference,gibbs sampler,1,moocML
bayesian inference,gradient descent,0,moocML
bayesian inference,recall,0,moocML
joint model probability,bayesian inference,1,moocML
bayesian inference,k means,0,moocML
bayesian inference,latent dirichlet allocation,1,moocML
learning method,bayesian inference,1,moocML
learning problem,bayesian inference,1,moocML
bayesian inference,locality sensitive hashing,0,moocML
bayesian inference,loss function,0,moocML
machine learning,bayesian inference,1,moocML
machine learning algorithm,bayesian inference,1,moocML
maximum likelihood,bayesian inference,1,moocML
maximum likelihood estimate,bayesian inference,1,moocML
bayesian inference,mixture model,0,moocML
model parameters,bayesian inference,1,moocML
bayesian inference,nearest neighbor search,0,moocML
bayesian inference,nearest neighbors,0,moocML
probabilistic model,bayesian inference,1,moocML
bayesian inference,stochastic gradient algorithm,0,moocML
bayesian inference,supervised learning,0,moocML
bayesian inference,unsupervised learning,0,moocML
bias problem,classification approach,0,moocML
bias problem,features,0,moocML
bias problem,cross validation,0,moocML
bias problem,cross validation error,1,moocML
bias problem,cross validation sets,0,moocML
data set,bias problem,1,moocML
evaluation metrics,bias problem,1,moocML
generalization error,bias problem,1,moocML
bias problem,hidden layer,0,moocML
bias problem,hidden unit,0,moocML
bias problem,high order polynomial,0,moocML
hypothesis,bias problem,1,moocML
bias problem,learning curve,1,moocML
learning method,bias problem,1,moocML
learning problem,bias problem,1,moocML
learning system,bias problem,1,moocML
bias problem,linear regression,0,moocML
bias problem,logistic regression,0,moocML
loss function,bias problem,1,moocML
machine learning,bias problem,1,moocML
bias problem,machine learning system,0,moocML
massive training set,bias problem,1,moocML
model selection,bias problem,1,moocML
bias problem,neural network,0,moocML
bias problem,optimization objective,0,moocML
bias problem,parameter vector,0,moocML
bias problem,polynomial features,0,moocML
bias problem,regularization,1,moocML
bias problem,regularized linear regression,0,moocML
bias problem,squared error,0,moocML
supervised learning,bias problem,1,moocML
test data set,bias problem,1,moocML
test error,bias problem,1,moocML
training data,bias problem,1,moocML
training data set,bias problem,1,moocML
training error,bias problem,1,moocML
bias problem,validation error,0,moocML
bias problem,validation set,0,moocML
bias problem,variance problem,0,moocML
bias problem,overfitting,0,moocML
bias problem,underfitting,0,moocML
bias unit,binary classification,0,moocML
bias unit,classification problem,0,moocML
bias unit,features,0,moocML
bias unit,decision boundaries,0,moocML
bias unit,error cost function,0,moocML
bias unit,feature vector,0,moocML
bias unit,forward propagation,1,moocML
hidden layer,bias unit,1,moocML
hidden unit,bias unit,1,moocML
bias unit,hypothesis,0,moocML
input layer,bias unit,1,moocML
input units,bias unit,1,moocML
bias unit,learning method,0,moocML
bias unit,learning problem,0,moocML
bias unit,linear regression,0,moocML
bias unit,logistic function,0,moocML
bias unit,logistic regression,0,moocML
bias unit,loss function,0,moocML
bias unit,matrix vector multiplication,0,moocML
bias unit,multi-class classification,0,moocML
bias unit,negative example,0,moocML
neural network,bias unit,1,moocML
bias unit,nonlinear hypotheses,0,moocML
bias unit,matrix,0,moocML
bias unit,output layer,0,moocML
bias unit,output unit,0,moocML
parameter vector,bias unit,1,moocML
bias unit,partial derivative,0,moocML
bias unit,polynomial terms,0,moocML
bias unit,positive data,0,moocML
bias unit,regression model,0,moocML
bias unit,regularization,0,moocML
bias unit,sigmoid function,0,moocML
bias unit,squared error,0,moocML
bias unit,training data,0,moocML
bias unit,training data set,0,moocML
bias unit,vector multiplication,0,moocML
bias variance trade-off,classification problem,0,moocML
bias variance trade-off,features,0,moocML
bias variance trade-off,coordinate descent,0,moocML
bias variance trade-off,cross validation,0,moocML
data set,bias variance trade-off,1,moocML
bias variance trade-off,decision boundaries,0,moocML
error analysis,bias variance trade-off,1,moocML
bias variance trade-off,feature scaling,0,moocML
bias variance trade-off,feature selection,0,moocML
bias variance trade-off,feature space,0,moocML
bias variance trade-off,feature vector,0,moocML
bias variance trade-off,gaussian kernel,0,moocML
generalization error,bias variance trade-off,1,moocML
bias variance trade-off,generalized linear models,0,moocML
bias variance trade-off,global minimum,0,moocML
bias variance trade-off,gradient descent,0,moocML
recall,bias variance trade-off,1,moocML
bias variance trade-off,hypothesis,0,moocML
bias variance trade-off,identity matrics,0,moocML
bias variance trade-off,inner product,0,moocML
input data,bias variance trade-off,1,moocML
bias variance trade-off,input space,0,moocML
bias variance trade-off,kernel function,0,moocML
bias variance trade-off,kernel regression,0,moocML
learning method,bias variance trade-off,1,moocML
learning problem,bias variance trade-off,1,moocML
learning system,bias variance trade-off,1,moocML
bias variance trade-off,least squares,0,moocML
bias variance trade-off,linear classifier,0,moocML
bias variance trade-off,linear kernel,0,moocML
bias variance trade-off,linear model,0,moocML
bias variance trade-off,linear regression,0,moocML
bias variance trade-off,local optima,0,moocML
bias variance trade-off,logistic regression,0,moocML
loss function,bias variance trade-off,1,moocML
machine learning,bias variance trade-off,1,moocML
machine learning algorithm,bias variance trade-off,1,moocML
bias variance trade-off,machine learning application,0,moocML
machine learning system,bias variance trade-off,1,moocML
bias variance trade-off,maximum likelihood,0,moocML
bias variance trade-off,maximum likelihood estimate,0,moocML
bias variance trade-off,mean square error,0,moocML
bias variance trade-off,minimization problem,0,moocML
model complexity,bias variance trade-off,1,moocML
model selection,bias variance trade-off,1,moocML
bias variance trade-off,multi-class classification,0,moocML
bias variance trade-off,nearest neighbors,0,moocML
bias variance trade-off,negative example,0,moocML
bias variance trade-off,neural network,0,moocML
bias variance trade-off,matrix,0,moocML
bias variance trade-off,optimization objective,0,moocML
bias variance trade-off,optimization problem,0,moocML
bias variance trade-off,parameter vector,0,moocML
bias variance trade-off,polynomial kernel,0,moocML
bias variance trade-off,polynomial regression,0,moocML
bias variance trade-off,positive class,0,moocML
bias variance trade-off,predicted value,0,moocML
prediction error,bias variance trade-off,1,moocML
bias variance trade-off,regression model,0,moocML
bias variance trade-off,regularization,1,moocML
bias variance trade-off,regularized logistic regression,0,moocML
bias variance trade-off,squared error,0,moocML
bias variance trade-off,string kernel,0,moocML
bias variance trade-off,support vector,0,moocML
bias variance trade-off,support vector machine,0,moocML
bias variance trade-off,svm optimization,0,moocML
bias variance trade-off,svm packages,0,moocML
test data,bias variance trade-off,1,moocML
test data set,bias variance trade-off,1,moocML
test error,bias variance trade-off,1,moocML
training data,bias variance trade-off,1,moocML
training data set,bias variance trade-off,1,moocML
training error,bias variance trade-off,1,moocML
tuning parameter,bias variance trade-off,1,moocML
validation set,bias variance trade-off,1,moocML
overfitting,bias variance trade-off,1,moocML
underfitting,bias variance trade-off,1,moocML
big data sets,cluster center,0,moocML
big data sets,cluster,0,moocML
big data sets,clustering algorithm,0,moocML
big data sets,collaborative filtering,0,moocML
big data sets,features,0,moocML
big data sets,computer vision,0,moocML
big data sets,coordinate descent,0,moocML
data set,big data sets,1,moocML
big data sets,decision tree,0,moocML
big data sets,deep learning,1,moocML
big data sets,deep neural network,1,moocML
big data sets,derivative term,0,moocML
big data sets,dimensionality reduction,0,moocML
big data sets,document retrieval,1,moocML
big data sets,expectation maximization,0,moocML
big data sets,gibbs sampler,0,moocML
big data sets,global minimum,0,moocML
big data sets,gradient algorithm,0,moocML
big data sets,gradient ascent,0,moocML
big data sets,gradient descent,0,moocML
big data sets,hidden unit,0,moocML
big data sets,hierarchical clustering,0,moocML
big data sets,hypothesis,0,moocML
big data sets,k means,0,moocML
big data sets,labeled data,0,moocML
big data sets,latent dirichlet allocation,0,moocML
big data sets,learning curve,0,moocML
big data sets,learning method,0,moocML
big data sets,learning problem,0,moocML
big data sets,learning rate,0,moocML
big data sets,learning system,0,moocML
big data sets,linear algebra,0,moocML
big data sets,linear classifier,0,moocML
big data sets,linear regression,0,moocML
big data sets,locality sensitive hashing,0,moocML
big data sets,logistic regression,0,moocML
big data sets,loss function,0,moocML
big data sets,machine learning,0,moocML
big data sets,machine learning algorithm,0,moocML
big data sets,machine learning system,0,moocML
big data sets,matrix factorization,0,moocML
big data sets,mixture model,0,moocML
big data sets,nearest neighbor search,0,moocML
big data sets,nearest neighbors,0,moocML
big data sets,neural network,1,moocML
big data sets,matrix,0,moocML
big data sets,online learning,0,moocML
big data sets,optimal solution,0,moocML
big data sets,optimization algorithms,0,moocML
big data sets,optimization objective,0,moocML
big data sets,output label,0,moocML
big data sets,partial derivative,0,moocML
big data sets,probabilistic model,0,moocML
big data sets,recommender system,1,moocML
big data sets,regression model,0,moocML
big data sets,sentiment analysis,0,moocML
big data sets,square distances,0,moocML
big data sets,squared error,0,moocML
big data sets,stochastic gradient algorithm,0,moocML
big data sets,supervised learning,0,moocML
big data sets,training data,0,moocML
big data sets,training data set,0,moocML
big data sets,unsupervised learning,0,moocML
big data sets,validation set,0,moocML
big data sets,overfitting,0,moocML
binary classification,classification accuracy,0,moocML
classification approach,binary classification,1,moocML
binary classification,classification error,0,moocML
classification problem,binary classification,1,moocML
features,binary classification,1,moocML
data set,binary classification,1,moocML
binary classification,decision stamp,0,moocML
binary classification,decision tree,0,moocML
binary classification,error analysis,0,moocML
binary classification,false negative,0,moocML
binary classification,false positives,0,moocML
binary classification,greedy algorithm,0,moocML
binary classification,precision,0,moocML
binary classification,recall,0,moocML
binary classification,hypothesis,0,moocML
learning method,binary classification,1,moocML
binary classification,linear classifier,0,moocML
binary classification,linear regression,0,moocML
binary classification,logistic regression,0,moocML
binary classification,loss function,0,moocML
machine learning,binary classification,1,moocML
machine learning algorithm,binary classification,1,moocML
binary classification,multi-class classification,1,moocML
negative example,binary classification,1,moocML
binary classification,neural network,1,moocML
binary classification,output layer,0,moocML
binary classification,output unit,0,moocML
positive class,binary classification,1,moocML
positive data,binary classification,1,moocML
positive training example,binary classification,1,moocML
predicted class,binary classification,1,moocML
predicted value,binary classification,1,moocML
binary classification,regularization,1,moocML
binary classification,spam filtering,0,moocML
test data set,binary classification,1,moocML
training data,binary classification,1,moocML
training data set,binary classification,1,moocML
binary classification,training error,0,moocML
binary classification,true positives,0,moocML
binary classification,validation set,0,moocML
boosting algorithm,classification error,0,moocML
boosting algorithm,computer vision,0,moocML
data set,boosting algorithm,1,moocML
boosting algorithm,decision boundaries,0,moocML
boosting algorithm,decision stamp,0,moocML
boosting algorithm,decision tree,0,moocML
boosting algorithm,face detection,0,moocML
boosting algorithm,greedy algorithm,0,moocML
boosting algorithm,precision,0,moocML
boosting algorithm,recall,0,moocML
learning method,boosting algorithm,1,moocML
learning problem,boosting algorithm,1,moocML
boosting algorithm,logistic regression,0,moocML
boosting algorithm,loss function,0,moocML
machine learning,boosting algorithm,1,moocML
machine learning algorithm,boosting algorithm,1,moocML
boosting algorithm,regression model,0,moocML
boosting algorithm,sentiment analysis,0,moocML
training data,boosting algorithm,1,moocML
boosting algorithm,training error,0,moocML
weak classifier,boosting algorithm,1,moocML
character recognition,character segmentation,1,moocML
classification approach,character recognition,1,moocML
character recognition,features,0,moocML
computer vision,character recognition,1,moocML
data set,character recognition,1,moocML
character recognition,face detection,0,moocML
character recognition,hidden unit,0,moocML
character recognition,learning curve,0,moocML
character recognition,learning method,0,moocML
learning problem,character recognition,1,moocML
learning system,character recognition,1,moocML
character recognition,logistic regression,0,moocML
machine learning,character recognition,1,moocML
machine learning application,character recognition,1,moocML
machine learning system,character recognition,1,moocML
character recognition,massive training set,0,moocML
ocr problem,character recognition,1,moocML
character recognition,photo ocr,1,moocML
test data,character recognition,1,moocML
test data set,character recognition,1,moocML
training data,character recognition,1,moocML
training data set,character recognition,1,moocML
character segmentation,classification approach,0,moocML
character segmentation,classification problem,0,moocML
character segmentation,features,0,moocML
character segmentation,computer vision,0,moocML
character segmentation,face detection,0,moocML
character segmentation,recall,0,moocML
character segmentation,learning method,0,moocML
learning problem,character segmentation,1,moocML
learning system,character segmentation,1,moocML
character segmentation,logistic regression,0,moocML
machine learning,character segmentation,1,moocML
machine learning application,character segmentation,1,moocML
machine learning system,character segmentation,1,moocML
character segmentation,negative example,0,moocML
character segmentation,ocr problem,0,moocML
character segmentation,pedestrian detection,0,moocML
character segmentation,photo ocr,0,moocML
character segmentation,positive data,0,moocML
character segmentation,supervised learning,0,moocML
test data,character segmentation,1,moocML
test data set,character segmentation,1,moocML
training data,character segmentation,1,moocML
training data set,character segmentation,1,moocML
classification accuracy,classification error,0,moocML
classification problem,classification accuracy,1,moocML
classification accuracy,features,0,moocML
classification accuracy,computer vision,0,moocML
classification accuracy,confusion matrix,1,moocML
classification accuracy,cross validation,1,moocML
classification accuracy,cross validation sets,0,moocML
data set,classification accuracy,1,moocML
classification accuracy,deep features,0,moocML
classification accuracy,deep learning,0,moocML
classification accuracy,error analysis,1,moocML
evaluation metrics,classification accuracy,1,moocML
classification accuracy,f1 score,1,moocML
classification accuracy,false negative,1,moocML
classification accuracy,false positives,1,moocML
classification accuracy,feature extraction,0,moocML
classification accuracy,feature scaling,0,moocML
classification accuracy,feature vector,0,moocML
classification accuracy,precision,0,moocML
classification accuracy,recall,0,moocML
classification accuracy,hypothesis,0,moocML
classification accuracy,image classification,0,moocML
classification accuracy,image retrieval,0,moocML
input data,classification accuracy,1,moocML
labeled data,classification accuracy,1,moocML
classification accuracy,learning method,0,moocML
learning problem,classification accuracy,1,moocML
classification accuracy,learning system,0,moocML
classification accuracy,linear regression,0,moocML
classification accuracy,logistic regression,0,moocML
machine learning,classification accuracy,1,moocML
classification accuracy,machine learning algorithm,0,moocML
classification accuracy,mean normalization,0,moocML
classification accuracy,minimization problem,0,moocML
negative example,classification accuracy,1,moocML
classification accuracy,neural network,0,moocML
classification accuracy,non-anomalous examples,0,moocML
classification accuracy,matrix,0,moocML
positive data,classification accuracy,1,moocML
predicted class,classification accuracy,1,moocML
predicted value,classification accuracy,1,moocML
classification accuracy,recommender system,0,moocML
classification accuracy,regularization,0,moocML
classification accuracy,sentiment analysis,0,moocML
supervised learning,classification accuracy,1,moocML
classification accuracy,support vector,0,moocML
classification accuracy,support vector machine,0,moocML
test data,classification accuracy,1,moocML
test data set,classification accuracy,1,moocML
classification accuracy,training data,0,moocML
classification accuracy,training data set,0,moocML
classification accuracy,true negatives,1,moocML
classification accuracy,true positives,1,moocML
classification accuracy,unsupervised learning,0,moocML
classification accuracy,validation set,1,moocML
classification problem,classification approach,1,moocML
classification approach,cluster,0,moocML
classification approach,collaborative filtering,0,moocML
features,classification approach,1,moocML
classification approach,computer vision,0,moocML
data set,classification approach,1,moocML
classification approach,decision stamp,0,moocML
classification approach,derivative term,0,moocML
classification approach,design matrix,0,moocML
classification approach,document retrieval,0,moocML
classification approach,evaluation metrics,0,moocML
classification approach,feature scaling,0,moocML
feature vector,classification approach,1,moocML
classification approach,global minimum,0,moocML
classification approach,gradient descent,0,moocML
classification approach,hidden unit,0,moocML
classification approach,hypothesis,0,moocML
classification approach,iterative algorithm,0,moocML
learning method,classification approach,1,moocML
learning problem,classification approach,1,moocML
classification approach,learning rate,0,moocML
classification approach,learning system,0,moocML
classification approach,linear classifier,1,moocML
classification approach,linear regression,0,moocML
classification approach,logistic regression,1,moocML
classification approach,loss function,0,moocML
machine learning,classification approach,1,moocML
machine learning algorithm,classification approach,1,moocML
classification approach,machine learning application,0,moocML
classification approach,machine learning system,0,moocML
classification approach,massive training set,0,moocML
classification approach,matrix factorization,0,moocML
classification approach,maximum likelihood,0,moocML
classification approach,maximum likelihood estimate,0,moocML
classification approach,multi-class classification,1,moocML
classification approach,negative example,0,moocML
classification approach,neural network,1,moocML
classification approach,normal equation,0,moocML
classification approach,matrix,0,moocML
classification approach,ocr problem,0,moocML
classification approach,optimal solution,0,moocML
classification approach,parameter vector,0,moocML
classification approach,partial derivative,0,moocML
classification approach,photo ocr,0,moocML
positive class,classification approach,1,moocML
positive data,classification approach,1,moocML
classification approach,recommender system,0,moocML
classification approach,regression model,0,moocML
classification approach,regression problem,0,moocML
classification approach,sentiment analysis,1,moocML
supervised learning,classification approach,1,moocML
classification approach,test data set,0,moocML
classification approach,test error,1,moocML
classification approach,training data,0,moocML
classification approach,training data set,0,moocML
classification approach,training error,1,moocML
classification approach,variance problem,1,moocML
classification problem,classification error,1,moocML
classification error,features,0,moocML
classification error,confusion matrix,1,moocML
classification error,cross validation,1,moocML
classification error,cross validation error,1,moocML
data set,classification error,1,moocML
classification error,decision boundaries,0,moocML
classification error,decision stamp,0,moocML
classification error,decision tree,0,moocML
classification error,early stopping,0,moocML
error analysis,classification error,1,moocML
classification error,false negative,1,moocML
classification error,false positives,1,moocML
classification error,gradient descent,0,moocML
classification error,greedy algorithm,0,moocML
classification error,high order polynomial,0,moocML
classification error,precision,0,moocML
classification error,recall,0,moocML
classification error,hypothesis,0,moocML
classification error,input data,0,moocML
classification error,learning curve,0,moocML
classification error,learning method,0,moocML
classification error,learning problem,0,moocML
classification error,linear classifier,0,moocML
classification error,linear regression,0,moocML
classification error,logistic regression,0,moocML
classification error,loss function,0,moocML
machine learning,classification error,1,moocML
classification error,machine learning algorithm,0,moocML
classification error,machine learning application,0,moocML
classification error,misclassification error,0,moocML
classification error,model complexity,0,moocML
negative example,classification error,1,moocML
classification error,matrix,0,moocML
classification error,polynomial features,0,moocML
positive class,classification error,1,moocML
positive data,classification error,1,moocML
classification error,precision recall curve,1,moocML
predicted class,classification error,1,moocML
predicted value,classification error,1,moocML
classification error,regression model,0,moocML
classification error,regularization,1,moocML
classification error,sentiment analysis,0,moocML
classification error,spam filtering,0,moocML
classification error,squared error,0,moocML
classification error,test data,0,moocML
classification error,test data set,0,moocML
classification error,test error,1,moocML
